Item_ID,Item_Name,Category,Price_EGP,Size_Range,Stock_Status,Stock_Quantity,Aisle_Location
DF-30331,Canvas Backpack with Laptop Sleeve (Black),Accessories,699,28-36,Low Stock,15,Aisle D-7
DF-43214,Polarized Retro Sunglasses (White),Accessories,449,28-36,In Stock,46,Aisle D-5
DF-61368,Ribbed Knit Beanie Hat (White),Accessories,1999,Standard,In Stock,102,Aisle D-15
DF-41567,Structured Crossbody Bag (Navy Blue),Accessories,1299,Standard,Low Stock,7,Aisle D-5
DF-64522,Stainless Steel Minimalist Watch (Grey Melange),Accessories,299,36-44,In Stock,45,Aisle D-11
DF-90797,Cotton Baseball Cap with Embroidery (Black),Accessories,399,Standard,Low Stock,30,Aisle D-13
DF-77919,Large Capacity Travel Duffel Bag (Beige),Accessories,1499,Standard,In Stock,54,Aisle D-11
DF-54210,Warm Plaid Fringed Scarf (White),Accessories,799,28-36,Low Stock,5,Aisle D-14
DF-19733,Leather Bi-Fold Wallet (Black),Accessories,999,Standard,In Stock,127,Aisle D-1
DF-70009,Slim Fit Crew Neck Basic Modal Short Sleeve T-Shirt (Navy Blue),Women's Wear,1499,S-XXL,In Stock,66,Aisle A-10
DF-57679,Regular Fit Crew Neck Basic Ribana Short Sleeve T-Shirt (Olive Green),Women's Wear,899,36-44,In Stock,73,Aisle A-7
DF-54551,Oversize Fit Linen Long Sleeve Shirt (Navy Blue),Women's Wear,1299,M-XL,In Stock,32,Aisle A-3
DF-75417,High Waist Wide Leg Trousers (Beige),Women's Wear,449,28-36,In Stock,104,Aisle A-13
DF-20095,Relax Fit Shirt Collar Woven Blazer (Burgundy),Women's Wear,449,S-XXL,In Stock,135,Aisle A-3
DF-46685,Regular Fit Round-Neck Strappy Dress (White),Women's Wear,999,S-XXL,Low Stock,4,Aisle A-13
DF-15956,Poplin Oversize Striped Shirt (Grey Melange),Women's Wear,599,28-36,In Stock,56,Aisle A-7
DF-54962,90s Wide Leg High Waist Washed Jeans (Olive Green),Women's Wear,599,Standard,In Stock,121,Aisle A-12
DF-90176,Disney Mickey & Minnie Oversize T-Shirt (Burgundy),Women's Wear,499,S-XXL,In Stock,130,Aisle A-14
DF-62876,Balloon Fit Regular Hem Linen Blended Trousers (Burgundy),Women's Wear,499,M-XL,In Stock,95,Aisle A-4
DF-80168,Regular Fit 100% Cotton Crew Neck Long Sleeve T-Shirt (Beige),Women's Wear,499,S-XXL,Low Stock,1,Aisle A-2
DF-72801,Elastic Band Balloon Fit Trousers (Burgundy),Women's Wear,1199,S-XXL,In Stock,70,Aisle A-7
DF-15604,A-Line Floral Print Summer Dress (Olive Green),Women's Wear,1199,Standard,In Stock,141,Aisle A-14
DF-74307,Knitwear Cardigan with V-Neck (Beige),Women's Wear,349,Standard,In Stock,46,Aisle A-2
DF-90233,Faux Leather Moto Jacket (Olive Green),Women's Wear,349,M-XL,In Stock,135,Aisle A-6
DF-61836,Mom Fit High Rise Jeans (Burgundy),Women's Wear,899,M-XL,In Stock,103,Aisle A-1
DF-66877,Cropped Ribbed Tank Top (Navy Blue),Women's Wear,1499,28-36,In Stock,45,Aisle A-10
DF-10206,Oversized Knit Sweater (Grey Melange),Women's Wear,799,M-XL,Low Stock,20,Aisle A-6
DF-88647,Pleated Midi Skirt (Navy Blue),Women's Wear,799,28-36,Low Stock,2,Aisle A-14
DF-79292,Denim Overall Dress (Navy Blue),Women's Wear,799,M-XL,In Stock,114,Aisle A-11
DF-94159,Slim Fit Denim Jacket Classic (Grey Melange),Men's Wear,399,M-XL,In Stock,121,Aisle B-4
DF-24516,Chino Shorts with Elastic Waistband (Navy Blue),Men's Wear,299,28-36,Low Stock,2,Aisle B-7
DF-41487,Oversize Hooded Cotton Sweatshirt (Grey Melange),Men's Wear,399,36-44,In Stock,62,Aisle B-14
DF-48901,Regular Fit V-Neck Knitwear Sweater (Grey Melange),Men's Wear,699,28-36,In Stock,44,Aisle B-5
DF-98752,Cargo Trousers with Pocket Details (Olive Green),Men's Wear,699,28-36,In Stock,98,Aisle B-10
